"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"LastWeekTonight",116435,8308,9,24,"Entertainment"
"Late Night with Seth Meyers",11586,804,9,149,"Comedy"
"Late Show with David Letterman",1348,24,10,2,"Entertainment"
"LaToya Forever",3411,29,10,5,"Entertainment"
"Laura in the Kitchen",4148,118,10,26,"Howto & Style"
"Laura Kampf",6119,169,10,16,"Howto & Style"
"Laura Lee",31408,781,10,61,"Howto & Style"
"LaurDIY",61613,1219,10,51,"Howto & Style"
"Lauren Elizabeth",3244,180,9,5,"Howto & Style"
"Lauv",51773,388,10,24,"Music"
"LavenderTowne",19730,180,10,8,"Howto & Style"
"Lawrence Livermore National Laboratory",26,4,9,1,"Science & Technology"
"LD Entertainment",306,36,9,6,"People & Blogs"
"League of Legends",50261,1972,10,13,"Gaming"
"LecraeVEVO",8560,351,10,13,"Music"
"Legendary",63925,5232,9,7,"Film & Animation"
"legofreedom1",421,2,10,5,"Music"
"Lele Pons",238134,14433,9,68,"Comedy"
"Lenarr Young",42400,815,10,14,"Comedy"
"leonalewis",19202,137,10,5,"Music"
"Leroy Sanchez",58812,328,10,12,"Music"
"Let Me Explain Studios",89360,2098,10,6,"Film & Animation"
"LetsGoWarriors",147,13,9,1,"Sports"
"LewisCapaldiVEVO",11439,121,10,12,"Music"
"LexusVehicles",1242,120,9,12,"Autos & Vehicles"
"LGR",9169,98,10,3,"Science & Technology"
"Liam Gallagher",10024,108,10,3,"People & Blogs"
"LiamPayneVEVO",135801,2011,10,7,"Music"
"Life Noggin",17930,533,10,139,"Education"
"LifeAccordingToJimmy",24056,168,10,8,"Comedy"
"Lifetime",178,37,8,5,"Entertainment"
"Like Stories of Old",5861,116,10,3,"Education"
"Lil Peep",195288,1452,10,6,"Music"
"LIL UZI VERT",186071,10925,9,8,"People & Blogs"
"Lil Wayne",115655,6033,10,9,"Music"
"Lily Pebbles",3287,77,10,1,"Howto & Style"
"Lindsay Webster",5171,64,10,8,"People & Blogs"
"Lindsey Stirling",93972,1018,10,30,"Music"
"Linkin Park",68156,678,10,23,"Music"
"Linus Tech Tips",35725,2212,10,41,"Science & Technology"
"Lionsgate Movies",18630,2856,8,38,"Film & Animation"
"Lip Sync Battle",3308,320,9,52,"Entertainment"
"Lisa Eldridge",14309,190,10,29,"Howto & Style"
"lisbug",4397,238,9,5,"Comedy"
"LissieVEVO",1068,9,10,6,"Music"
"littleBits Electronics",16,1,9,3,"Science & Technology"
"littlemixVEVO",131449,1210,10,10,"Music"
"littlerobotgirl",11654,232,10,9,"People & Blogs"
"LIVEKellyandRyan",937,252,9,42,"Entertainment"
"LiveOverflow",1559,41,10,3,"Education"
"Liverpool FC",86459,1512,10,10,"Sports"
"Livia Giustiniani",46,6,9,4,"Film & Animation"
"Living Big In A Tiny House",10903,208,10,16,"Howto & Style"
"Liza Koshy",392646,3966,10,40,"Comedy"
"Liza Koshy Too",199961,2112,10,34,"Comedy"
"LoeyLane",748,321,NA,7,"Entertainment"
"LOFTON SHAW",20,1,10,2,"Film & Animation"
"Lofty Pursuits",25554,544,10,5,"Howto & Style"
"Logan Paul Vlogs",1314387,576969,7,24,"Entertainment"
"LOL Network",41378,1936,10,52,"Comedy"
"LOOK MUM NO COMPUTER",43959,1780,10,10,"Music"
"Looper",8876,1005,9,13,"Entertainment"
"Lorraine",1029,44,10,10,"Entertainment"
"Los Angeles Times",62,162,6,10,"News & Politics"
"Lotto New Zealand",150,5,10,3,"Gaming"
"Loudwire",681,22,10,5,"Music"
"LouisTomlinsonVEVO",342886,1713,10,6,"Music"
"Lucas",12355,2218,9,19,"Comedy"
"Lucas and Marcus",257314,10034,10,13,"Entertainment"
"Lucas the Spider",278442,5472,10,47,"Film & Animation"
"Lucy Moon",3043,49,10,12,"People & Blogs"
"lugeyps3",631,40,9,3,"Entertainment"
"lugnutsoldcrap",15,0,10,2,"Autos & Vehicles"
"LuisFonsiVEVO",1667143,75304,10,10,"Music"
"Luke Korns",27842,866,10,9,"Comedy"
"LukeBryanVEVO",4430,126,10,15,"Music"
"LukeCombsVEVO",10301,322,10,12,"Music"
"LustreLux",9801,270,10,9,"Howto & Style"
"Lyft",1108,46,10,9,"Travel & Events"
"Máquina Voadora",882,21,10,6,"Sports"
"MaccabeatsVideos",2432,71,10,6,"Music"
"Macklemore LLC",98968,2473,10,13,"Music"
"Maddie Lymburner",759,40,9,4,"People & Blogs"
"Maddie Ziegler",32111,331,10,11,"Entertainment"
"Madelaine Petsch",38582,191,10,34,"People & Blogs"
"Madmorda",144,1,10,1,"People & Blogs"
"Maggie Lindemann",46266,801,10,14,"Music"
"Maggie Smith Kühn",41,0,10,1,"Music"
"Magnolia Pictures & Magnet Releasing",1188,120,9,17,"Film & Animation"
"Major Lazer",67032,1238,10,15,"Music"
"Major League Soccer",51014,1625,10,13,"Sports"
"Maker's Box",45,2,10,3,"Science & Technology"
"Makeupshayla",19888,582,10,6,"Howto & Style"
"Malik Nabee",578,249,7,8,"Music"
"MalumaVEVO",685018,57375,9,14,"Music"
"MamaMiaMakeup",46102,1550,10,16,"Comedy"
"Mamrie Hart",5840,218,10,14,"Comedy"
"Man About Cake",7065,81,10,16,"Howto & Style"
"MandisaVEVO",4790,83,10,5,"Music"
"Manny Mua",80021,1921,10,6,"Howto & Style"
"Marco Reps",1387,14,10,7,"Science & Technology"
"Marcos Horacio",144,6,10,4,"Sports"
"MariahCareyVEVO",18092,1115,9,12,"Music"
"mariahxlambily",1338,307,NA,7,"Music"
"Marie McGann",27,8,8,6,"Entertainment"
"MARIO TESTINO",75,2,10,5,"Entertainment"
"marjolijn2",190,1,10,3,"Science & Technology"
"Mark Ferris",5294,36,10,4,"Comedy"
"Mark Linsangan",437,14,10,2,"Science & Technology"
"Mark Rober",82386,1892,10,32,"Science & Technology"
"Mark Sales",9929,717,9,9,"Comedy"
"Markiplier",74853,889,10,37,"Gaming"
"Maroon5VEVO",272134,6772,10,19,"Music"
"Marques Brownlee",77426,1762,10,115,"Science & Technology"
"marshmello",170336,3840,10,12,"Music"
"Marshmello",343131,7298,10,24,"Music"
"Marteen Estevez",1410,16,10,5,"Music"
"Martin Garrix",224342,2762,10,7,"Music"
"Marvel Entertainment",447813,8126,10,110,"Entertainment"
"Mary Giannone",5561,261,10,8,"Comedy"
"Marzia",69163,734,10,39,"People & Blogs"
"Mashable Daily",6636,858,9,6,"Autos & Vehicles"
"Mashed",7069,620,9,7,"Entertainment"
"Mason Ramsey",375741,23848,9,10,"Music"
"MassLive",609,71,9,7,"News & Politics"
"MassMutual",0,0,NA,4,"Education"
"MasterClass",1323,12,10,4,"Education"
"Masters Of The Sun",25,0,10,3,"Entertainment"
"Matoma",1351,18,10,3,"Music"
"matt",14941,905,9,8,"Entertainment"
"Matt and Kim",3296,286,9,6,"Music"
"Matt Bentkowski",26663,1495,9,15,"Sports"
"Matt Steffanina",21476,215,10,4,"Entertainment"
"Matt Stonie",75037,5042,9,46,"Entertainment"
"MatthewSantoro",13675,3376,9,26,"Education"
"Matthias",36264,947,10,32,"Science & Technology"
"Matthias Wandel",10385,931,9,28,"Howto & Style"
"MattMasonPhotography",140,12,9,2,"Sports"
"Max Fagin",1094,105,9,7,"Science & Technology"
"Max Hertan",124,13,9,4,"Entertainment"
"Max Joseph",141731,2413,10,1,"Film & Animation"
"Max Skipper",6904,147,10,7,"People & Blogs"
"Mayim Bialik",5788,379,9,25,"Film & Animation"
"Maymo",18277,1818,9,9,"Pets & Animals"
"Mayo Clinic",1896,74,10,1,"Science & Technology"
"mayratouchofglam",3769,290,9,3,"Howto & Style"
"MAZELEE",13994,1016,9,6,"People & Blogs"
"McDonald's",2277,2193,7,6,"Film & Animation"
"MDNA SKIN",460,132,8,2,"People & Blogs"
"Mean Girls on Broadway",8453,225,10,11,"People & Blogs"
"Mecum Auctions",362,54,9,2,"Autos & Vehicles"
"MeganBatoon",8798,311,10,15,"Entertainment"
"MeghanTrainorVEVO",199898,14025,9,26,"Music"
"melodysheep",2592,36,10,5,"Music"
"Mental Floss",1410,71,9,26,"Education"
"Mercedes-AMG Petronas Motorsport",1978,145,9,7,"Sports"
"Mercedes-Benz",918,33,10,2,"Autos & Vehicles"
"Mercury News",3719,212,9,9,"News & Politics"
"Merrell Twins Live",3476,59,10,14,"People & Blogs"
"merrelltwins",41670,438,10,37,"Comedy"
"MGM",1450,182,9,5,"Film & Animation"
"MGMTVEVO",21951,567,10,7,"Music"
"Michael Bublé",1218,58,10,3,"Music"
"Michael Callaghan",462,7,10,6,"Entertainment"
"Michael Dapaah",15446,144,10,9,"Comedy"
"Michael Rigsby",6,0,10,4,"People & Blogs"
"Michelle Khare",6036,504,9,44,"Entertainment"
"Michelob ULTRA",6163,2517,NA,9,"Sports"
"MickMake",161,2,10,1,"Science & Technology"
"MiddleKidsVEVO",442,16,10,2,"Music"
"Midnight Video",4952,125,10,4,"Film & Animation"
"MigosVEVO",186377,8896,10,20,"Music"
"MiguelVEVO",60980,714,10,23,"Music"
"Mike Austin",36285,2946,9,9,"News & Politics"
"Mike Boyd",19203,328,10,58,"Entertainment"
"Mike Diva",7332,389,10,6,"Entertainment"
"Mike H",43,0,10,4,"People & Blogs"
"mike m",768,1452,3,1,"People & Blogs"
"Mike Olbinski",491,3,10,1,"Science & Technology"
"Mike Shinoda",86479,1188,10,12,"Music"
"Mikey Murphy",58578,310,10,6,"Film & Animation"
"MILCK",306,2,10,2,"Music"
"Milkmen Design",7,0,10,4,"People & Blogs"
"Millie T",15040,382,10,7,"Entertainment"
"MinuteEarth",11677,751,9,38,"Science & Technology"
"Miranda Sings",24042,1045,10,25,"Comedy"
"misleadingsilhouette",287,9,10,1,"Music"
"Miss Universe",3898,357,9,6,"Entertainment"
"Missguided",18,0,10,1,"Howto & Style"
"Missouri Star Quilt Company",1225,81,9,9,"Education"
"MisterWivesVEVO",1427,25,10,5,"Music"
"Mitchell Moon",2817,114,10,8,"People & Blogs"
"MITCHELL WIGGS",57500,747,10,3,"Howto & Style"
"mittromney",942,1424,4,7,"People & Blogs"
"MK Dons",28,0,10,3,"Sports"
"MLB",6970,413,10,20,"Sports"
"MLG Highlights",14440,33505,8,33,"Sports"
"MLive",13081,1174,9,16,"News & Politics"
"mmschocolate",4011,141,10,15,"Entertainment"
"MN khan",1856,311,9,5,"People & Blogs"
"Mnet K-POP",292317,5381,10,7,"Entertainment"
"MOBO Awards",368,24,9,4,"Music"
"Moby",4589,180,10,6,"Music"
"MODSUN",5137,2646,7,1,"Music"
"Molly Burke",11276,140,10,30,"People & Blogs"
"Mom Will Be Proud",330,23,9,2,"Howto & Style"
"Momentum Pictures",76,18,8,9,"Film & Animation"
"MOMOMOYOUTHVEVO",19144,259,10,8,"Music"
"monatheband",4352,66,10,2,"Music"
"monday.com, formerly dapulse",19,0,10,3,"Science & Technology"
"Monster Cable Products",13672,5852,7,9,"Entertainment"
"Monster Energy",1749,43,10,2,"Sports"
"MoorInfo",3745,512,9,6,"People & Blogs"
"MoreZoella",53870,539,10,6,"People & Blogs"
"Morgan Adams",96168,2213,10,24,"Entertainment"
"Motherboard",11707,331,10,9,"Science & Technology"
"Motion Station",2133,1319,6,10,"Sports"
"Moulin Rouge! the Musical",5053,222,10,5,"Entertainment"
"Mountain Dew",8284,182,10,2,"Entertainment"
"Movie'n'co UK",1099,12,10,4,"Film & Animation"
"Movie Munchies",380,182,7,5,"Entertainment"
"MovieAccessTrailers",200,51,8,3,"Entertainment"
"Movieclips Coming Soon",392,6,10,8,"Film & Animation"
"Movieclips Film Festivals & Indie Films",177,11,9,1,"Film & Animation"
"Movieclips Trailers",10254,9326,7,36,"Film & Animation"
"Mr Ben Brown",1788,29,10,4,"People & Blogs"
"Mr Sunday Movies",33453,590,10,14,"Entertainment"
"Mr. Kate",50071,489,10,49,"Howto & Style"
"MrBeast",119054,7604,9,7,"Entertainment"
"MrMobile [Michael Fisher]",12706,126,10,4,"Science & Technology"
"MrNorrisVideos",696,52,9,2,"Gaming"
"MrTreknation",2131,227,9,7,"People & Blogs"
"Mrwhosetheboss",21435,972,10,3,"Science & Technology"
"MsAaliyahJay",14534,403,10,2,"Howto & Style"
"MSNBC",937,281,8,43,"News & Politics"
"MTV",9334,494,9,23,"Entertainment"
"MTV International",7171,170,10,6,"Entertainment"
"mugumogu",2273,20,10,10,"Pets & Animals"
"Munchies",12894,321,10,20,"Entertainment"
"Muse",84575,4591,9,9,"Music"
"Muselk",18958,644,10,6,"Gaming"
"Must Love Science",108,2,10,2,"Science & Technology"
"Mustache Wax",1889,21,10,3,"Comedy"
"mvt.ias",2150,188,9,3,"Music"
"My Self Reliance",6275,106,10,12,"People & Blogs"
"My Virgin Kitchen",7675,672,9,20,"Howto & Style"
"MyHarto",9120,934,9,47,"Comedy"
"MyLifeAsEva",52515,1782,10,29,"Howto & Style"
"MYSTERY SCIENCE THEATER 3000",811,60,9,10,"Comedy"
"N W",5223,223,10,10,"People & Blogs"
"Na So We See Am",12,0,10,3,"People & Blogs"
"Nahre Sol",242,0,10,1,"Music"
"NARLtv",18,3,9,2,"Entertainment"
"NASA",1743,50,10,3,"Science & Technology"
"NASA Goddard",9591,391,9,15,"Science & Technology"
"NASA Jet Propulsion Laboratory",5921,264,10,12,"Science & Technology"
"NASCAR",417,57,9,9,"Sports"
"Nat Geo WILD",545,3,10,1,"Entertainment"
"Natalies Outlet",164357,2447,10,18,"Entertainment"
"Nathan C",169,185,5,5,"Howto & Style"
"Nathan Robinson",5232,49,10,4,"People & Blogs"
"National Geographic",6775,317,10,61,"Pets & Animals"
"National Safety Council",19,0,10,3,"Nonprofits & Activism"
"Navenanthen Gepardieu",73,2,10,4,"Entertainment"
"NBA",5056,483,9,164,"Sports"
"NBA Highlights · YouTube",600,766,2,7,"Sports"
"NBA on ESPN",52,4,9,5,"Sports"
"NBA on TNT",5469,265,10,19,"Sports"
"NBA Stats All Seasons",1795,50,10,5,"Sports"
"NBC",23899,9844,8,28,"Entertainment"
"NBC News",2306,1506,7,90,"News & Politics"
"NBC Sports",2961,322,9,42,"Sports"
"NCAA March Madness",2946,228,9,23,"Sports"
"negermano",4,0,10,2,"Music"
"Neil Fraser",8,0,10,2,"Science & Technology"
"neilyoungchannel",1156,43,10,2,"Music"
"Nerdist",30935,2310,9,25,"Entertainment"
"Nerdwriter1",28192,367,10,62,"Entertainment"
"Netflix",16359,799,9,157,"Entertainment"
"Netflix Asia",7548,342,10,7,"Entertainment"
"New England Patriots",1130,113,9,7,"Sports"
"New Orleans Saints on NOLA.com",1532,170,9,9,"News & Politics"
"New Scientist",111,14,9,1,"Science & Technology"
"New York Daily News",1177,296,8,8,"News & Politics"
"New York Magazine",33,0,10,2,"Entertainment"
"News 5 Cleveland",5466,1041,8,12,"News & Politics"
"Newsflare",5174,61,10,6,"Pets & Animals"
"NewsFunnies",560,55,9,9,"Comedy"
"Newsy",24,6,9,6,"News & Politics"
"NFL",11861,1756,9,123,"Sports"
"NFL Network",12356,557,10,9,"Sports"
"NFL World",190,144,6,6,"Sports"
"NFVEVO",142814,2472,10,9,"Music"
"NHL",18274,261,10,26,"Sports"
"NiallHoranVEVO",107428,664,10,10,"Music"
"Nick Ramos",487,698,4,5,"Sports"
"Nickelback",13232,640,10,7,"Music"
"Nickelodeon",9591,654,9,14,"Entertainment"
"Nicki Minaj",290721,24620,9,17,"Music"
"Nicki Shields",225,18,9,3,"Autos & Vehicles"
"NickiMinajAtVEVO",548474,53548,9,5,"Music"
"nickjonas",1921,44,10,9,"Music"
"NickJonasVEVO",14863,231,10,25,"Music"
"Nicol Concilio",18830,2213,9,21,"Howto & Style"
"Nicole Guerriero",14127,534,10,15,"Howto & Style"
"nigahiga",250734,4065,10,57,"Entertainment"
"Nike",63176,4368,9,10,"Sports"
"Niki and Gabi",71187,2190,10,10,"Howto & Style"
"Nikita Dragun",66935,4729,9,21,"People & Blogs"
"Nikki Glamour",24103,364,10,16,"Entertainment"
"NikkieTutorials",153655,2353,10,79,"Howto & Style"
"Nile Wilson",11238,368,10,11,"Sports"
"NinaNesbittMusicVEVO",15036,135,10,5,"Music"
"Nintendo",61564,4866,10,65,"Gaming"
"NitroV2",1060,79,9,6,"Film & Animation"
"NIXOLAS",2060,65,10,8,"Film & Animation"
"NJ.com",3348,1998,7,18,"News & Politics"
"Noah Nicholls",4370,144,10,4,"People & Blogs"
"NoahCyrusVEVO",55620,1615,10,9,"Music"
"NoahKahanVEVO",669,7,10,3,"Music"
"Nobrand",2798,204,9,4,"People & Blogs"
"NOLA.com",251,337,4,7,"News & Politics"
"nothorwitzer",659,86,9,8,"Autos & Vehicles"
"notnotryan",45548,2232,10,12,"Comedy"
"NOVA's Secret Life of Scientists and Engineers",30,0,10,4,"Science & Technology"
"Now You See It",12239,232,10,5,"Education"
"NowThis World",9289,1419,9,5,"News & Politics"
"Numberphile",8913,138,10,38,"Science & Technology"
"NWSSanDiego",26,2,9,4,"Science & Technology"
"Nyma Tang",32649,274,10,10,"Howto & Style"
"NZPoliceRecruitment",15046,508,10,6,"News & Politics"
"Obama Foundation",1970,89,10,3,"Nonprofits & Activism"
"Oceana",26,1,10,5,"Nonprofits & Activism"
"ODE",569,50,9,5,"Entertainment"
"officer401",4774,144,10,5,"Entertainment"
"Official Charts",67,8,9,10,"Music"
"officialcharlixcx",9309,157,10,12,"Music"
"OjO Commuter Scooter by OjO Electric",3,0,9,2,"Travel & Events"
"OK Go",73991,3998,9,7,"Music"
"OlanRogers",12986,282,10,6,"Comedy"
"Olympic",3114,530,9,17,"Sports"
"OmarGoshTV",33351,648,10,1,"Entertainment"
"Omaze",6508,93,10,15,"Entertainment"
"ombremor",663,7,10,5,"Music"
"Omeleto",16578,1849,9,14,"Film & Animation"
"One List , One Life",685,84,9,6,"People & Blogs"
"ONE Media",13112,1721,8,39,"Film & Animation"
"OneBitMusicVEVO",42739,1934,10,3,"Music"
"onsetfacilities.com",2980,44,10,1,"People & Blogs"
"Onur Altuğ Sever",55,4,9,6,"Film & Animation"
"Open Road Films",6879,463,9,7,"Entertainment"
"oregon",29907,370,10,13,"Travel & Events"
"Orion Pictures",4566,620,9,7,"People & Blogs"
"Oscar Fury",146,12,9,4,"Gaming"
"Oscars",18999,4782,8,8,"Film & Animation"
"Outback Steakhouse",12,1,9,4,"Entertainment"
"OVO Sound",698608,14034,10,11,"Music"
"Owen Harvey",179,13,9,1,"Film & Animation"
"OWN",1956,632,8,8,"Entertainment"
"Ozuna",67227,1473,10,1,"Music"
"Pac-12 Networks",0,0,NA,6,"Sports"
"PAC ENTRETENIMENTO / DJ IVAN DAVIS",2133,49,10,3,"Entertainment"
"Palo Alto Online",1,0,10,3,"Sports"
"Panic! At The Disco",120112,1145,10,12,"Music"
"Papa Jake",53506,7720,9,20,"Entertainment"
"Paramount Network",5802,18439,3,8,"Entertainment"
"Paramount Pictures",61579,1646,9,33,"Film & Animation"
"Paris Hilton",0,0,NA,6,"Music"
"Parks and Recreation",1447,55,10,7,"Comedy"
"ParsonJamesVEVO",2580,49,10,8,"Music"
"Passenger",12443,142,10,7,"Music"
"Patricia Bright",41654,1066,10,10,"Howto & Style"
"Patrick Nan",36437,262,10,5,"Film & Animation"
"PatrickStarrr",40951,5479,9,22,"Howto & Style"
"Paul Sellers",1383,11,10,2,"Film & Animation"
"paul wheaton",261,55,8,3,"Science & Technology"
"Paweł Zadrożniak",12590,114,10,7,"Music"
"PB Comps",9380,415,10,6,"Sports"
"PBS Eons",14728,296,10,32,"Science & Technology"
"PBS NewsHour",7265,759,7,31,"News & Politics"
"PBS Space Time",8548,306,10,12,"Education"
"Peaceful Cuisine",3219,53,10,5,"Howto & Style"
"PekingDukVEVO",1178,11,10,1,"Music"
"Peloton",555,1110,3,5,"Science & Technology"
"Penguin Books South Africa",12,0,10,3,"Entertainment"
"Penguin Books UK",552,1,10,2,"Entertainment"
"People are Awesome",8850,109,10,9,"Entertainment"
"PeopleTV",2419,51,10,12,"Entertainment"
"Pepsi",6943,3116,8,11,"Entertainment"
"Pero Like",13350,410,10,6,"People & Blogs"
"Persil ProClean",172,121,6,7,"People & Blogs"
"PESfilm",1709,31,10,5,"Film & Animation"
"PetaPixel",2707,200,9,1,"Science & Technology"
"Peter Brown",7978,146,10,18,"Howto & Style"
"Peter Caine Dog Training",913,364,7,2,"Science & Technology"
"Peter McKinnon",24498,505,10,30,"People & Blogs"
"PeterSripol",20038,110,10,6,"Science & Technology"
"PewDiePie",397531,4956,10,2,"Entertainment"
"PhakeNam",1979,156,9,7,"Entertainment"
"Philadelphia 76ers",88,5,9,5,"Sports"
"Philadelphia Eagles",3957,565,9,6,"Sports"
"Philip DeFranco",89349,2566,10,8,"Entertainment"
"Philly D",13619,1330,9,10,"People & Blogs"
"PhilPhillipsVEVO",2195,28,10,1,"Music"
"PHP",14035,2508,8,5,"Entertainment"
"Physics Girl",6103,197,10,13,"Education"
"Pick Up Limes",11618,79,10,8,"People & Blogs"
"Piece Of Me Tour Planet Hollywood",3958,2454,6,8,"Music"
"Pies Are Awesome",18,0,10,3,"Howto & Style"
"Pinball Wiz",133276,1459,10,9,"People & Blogs"
"PinkVEVO",234300,8298,10,18,"Music"
"PitbullVEVO",139645,7207,10,10,"Music"
"Pitch Perfect",49538,2253,10,8,"Entertainment"
"Pitchfork",11881,253,10,5,"Music"
"Pittsburgh Dad",4373,214,10,6,"Comedy"
"Pixielocks",3045,154,10,18,"People & Blogs"
"pjmorton",726,4,10,2,"Entertainment"
"PK Inventor",0,0,NA,1,"Science & Technology"
"Plasma Channel",190,6,10,4,"Science & Technology"
"PLAYERUNKNOWN'S BATTLEGROUNDS",6181,259,10,6,"Gaming"
"PlayOverwatch",38799,1103,10,23,"Gaming"
"PlayStation",85849,1177,10,6,"Gaming"
"PointlessBlogVlogs",25623,686,10,5,"Entertainment"
"Pokémon GO",14846,1396,9,7,"Gaming"
"PolyMatter",20110,1534,9,16,"Education"
"Polyphonic",7262,88,10,2,"Music"
"Pomegranate Sunshine",725,24,10,6,"Pets & Animals"
"PONY Syndrome",15240,361,10,7,"Howto & Style"
"poofables",909,52,9,1,"Entertainment"
"Pop & Sports HQ",6967,494,9,1,"Sports"
"Popcorn with Peter Travers",3787,32,10,5,"Entertainment"
"Poppy",27305,2582,9,24,"Entertainment"
"POPSUGAR",2336,20,10,4,"Howto & Style"
"Popular Woodworking",955,6,10,4,"Film & Animation"
"Portugal. The Man",4521,203,10,18,"Music"
"PostmodernJukebox",15016,379,10,14,"Music"
"Practical Engineering",12872,174,10,25,"Education"
"PressTube",61408,2652,10,19,"Science & Technology"
"PrettyMuchVEVO",24366,139,10,14,"Music"
"Prime Video",862,102,9,5,"Entertainment"
"Primitive Survival Tool",51019,3371,9,24,"People & Blogs"
"Primitive Technology",145233,1558,10,35,"People & Blogs"
"Prince",56978,2106,10,18,"Music"
"Prince Marcus",14,0,10,4,"Sports"
"PrincessPiaMiaVEVO",6514,108,10,2,"Music"
"ProZD",62329,1738,10,45,"Film & Animation"
"PsychoSoprano",41648,763,10,11,"Comedy"
"PTXofficial",186052,3807,10,80,"Music"
"Quad9 DNS",43,2,10,3,"People & Blogs"
"Quartz",3768,80,10,6,"Travel & Events"
"QUARTZ",34,10,8,3,"People & Blogs"
"Queen Naija",410701,4364,10,24,"Entertainment"
"Quicken Loans",3596,205,9,9,"Education"
"R3HAB",17916,210,10,9,"Music"
"Rachel and Jun",44694,1352,10,2,"People & Blogs"
"Rachelleea",1420,26,10,5,"Howto & Style"
"RachelPlattenVEVO",1841,70,10,5,"Music"
"RachhLoves",10185,337,10,14,"Howto & Style"
"RackaRacka",90877,920,10,3,"Entertainment"
"Radio Andy",152,253,4,6,"Entertainment"
"Radio Physics and Electronics",82,3,10,4,"Science & Technology"
"Radovan Lazic",14906,5054,7,2,"Music"
"RagnBoneManVEVO",10956,243,10,6,"Music"
"Rainer Hilland",1388,15,10,5,"People & Blogs"
"Rainsford",188,20,9,4,"Music"
"Ram Trucks",5645,5735,6,9,"Autos & Vehicles"
"Ranz Kyle",41698,328,10,16,"Music"
"RAP DAILY",14250,3228,8,7,"Music"
"Rapid Highlights",2244,251,9,9,"Sports"
"Rapid Trailer",884,186,9,10,"Film & Animation"
"Rappler",39,14,7,3,"News & Politics"
"RawBeautyKristi",7535,305,10,5,"Howto & Style"
"razzark666",216,8,10,2,"Entertainment"
"Rclbeauty101",49194,1563,10,8,"Entertainment"
"Reach Records",1946,96,10,8,"Music"
"REACT",25552,1520,9,66,"Entertainment"
"Reaction Time",48827,7021,9,15,"Entertainment"
"Real Engineering",22046,439,10,8,"Science & Technology"
"Real Madrid C.F.",14562,434,10,22,"Sports"
"Real World Records",344,7,10,4,"Music"
"RealLifeLore",17748,769,10,22,"Education"
"RealNewsNetworkMedia",193,147,6,3,"People & Blogs"
"Rebel Wilson",6844,464,9,9,"Comedy"
"Recanto Ecológico Rio da Prata",15634,565,10,12,"Pets & Animals"
"Recode",181,44,8,6,"Science & Technology"
"Recording Academy / GRAMMYs",10636,2458,8,7,"Music"
"Red Bull",16751,511,10,46,"Sports"
"Red Bull Records",272,21,9,3,"Music"
"Red Robot - Intelligent Distribution",282,23,9,3,"Travel & Events"
"RedCurtainEnt",3349,330,9,3,"Entertainment"
"Redline Reviews",1775,86,10,4,"Autos & Vehicles"
"Refinery29",1568,171,9,91,"Howto & Style"
"Rella On the radio",8906,267,10,5,"Entertainment"
"RemyMaVEVO",52542,6719,9,26,"Music"
"Renault Sport",373,4,10,5,"Autos & Vehicles"
"Represent.Us",113,34,8,3,"Nonprofits & Activism"
"Republican News Watch",20,4,8,1,"Education"
"reputationswift",322,90,8,6,"Entertainment"
"RESSENCE WATCHES",29,2,9,3,"Film & Animation"
"RetroManCave",1245,7,10,8,"Science & Technology"
"revlon",114,4,10,1,"Howto & Style"
"Revolt TV",36024,2297,9,8,"Entertainment"
"RiceGum",109686,21229,8,1,"Entertainment"
"Ricky Dillon",20262,670,10,6,"Comedy"
"RickyMartinVEVO",12798,413,10,6,"Music"
"RihannaNavyVevo",163,30,8,1,"People & Blogs"
"Rise",191,15,9,4,"Entertainment"
"Rita Ora",8866,235,10,6,"Entertainment"
"Riverdale",19370,276,10,11,"People & Blogs"
"RM Videos",545,51,9,51,"Comedy"
"Roadshow",523,133,8,4,"Autos & Vehicles"
"RoadsideFlix",3090,111,10,10,"Film & Animation"
"Rob Andretti",0,2,0,2,"Sports"
"Rob Bliss",54166,2361,10,7,"Entertainment"
"Rob Scallon",37255,340,10,26,"Music"
"Rock & Roll Hall of Fame",190,25,9,2,"Music"
"Rock me, Joey Santiago.",10387,120,10,14,"Pets & Animals"
"rock on",2067,114,10,5,"Music"
"RocketJump Film School",2387,15,10,4,"Film & Animation"
"rollingstoneonline",444,11,10,3,"Music"
"RomanAtwoodVlogs",108561,12999,9,26,"People & Blogs"
"ROME REPORTS in English",98,12,9,3,"News & Politics"
"Rooster Teeth",27979,1471,10,24,"Film & Animation"
"Rosanna Pansino",39439,1241,10,95,"Howto & Style"
"Ross Kempsell",6,39,1,2,"Comedy"
"Roxette Arisa",19365,417,10,12,"Howto & Style"
"Roy Moore for Senate",3628,49745,1,8,"People & Blogs"
"Royal Academy of Arts",48,1,10,5,"Entertainment"
"Royal Blood",10415,122,10,8,"Music"
"Rudimental",38705,447,10,19,"Music"
"Rudy Mancuso",172203,4676,10,51,"Comedy"
"Russell Howard",17865,219,10,3,"Comedy"
"Ryan",10042,359,10,1,"Comedy"
"Ryan Calme",3301,72,10,3,"Science & Technology"
"Ryan Canty",16109,872,10,5,"Entertainment"
"Ryan Davidson",395,81,8,6,"People & Blogs"
"Ryan Is Driving",91874,2262,10,6,"Entertainment"
"Ryan Northover",84,8,9,6,"Entertainment"
