"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"Ben Katz",23553,414,10,14,"Science & Technology"
"Ben Pluimer",46084,2940,9,13,"Film & Animation"
"Ben Rohrbach",68,60,5,5,"Sports"
"BenDeen",1822,41,10,3,"People & Blogs"
"Benn and Gear",512,12,10,2,"Music"
"BenTheBondsman",9928,810,9,9,"People & Blogs"
"BeOurGuest",3138,421,9,5,"Entertainment"
"Berd",16693,268,10,15,"Comedy"
"BerkleyLovesTori",1221,40,10,7,"People & Blogs"
"Beth Kobliner",1053,317,8,5,"Education"
"Bethany Mota",70093,1118,10,5,"Howto & Style"
"Bethany Wilhelm",15538,3199,8,12,"Comedy"
"Bethel Music",7029,121,10,7,"Music"
"BETNetworks",2746,679,8,8,"Entertainment"
"Beyonce",24955,2556,9,5,"Music"
"Beyond The Trailer",2374,530,8,7,"Entertainment"
"BeyondSlowMotion",310,12,10,1,"Travel & Events"
"Big Cat Rescue",1957,34,10,5,"Pets & Animals"
"Big Marvel",109067,3932,10,36,"Music"
"Big Ten Network",409,57,9,5,"Sports"
"bigclivedotcom",2092,22,10,2,"Science & Technology"
"Bill Gates",9756,406,10,6,"Nonprofits & Activism"
"bill wurtz",173705,3651,10,36,"People & Blogs"
"Billboard",72145,1029,10,62,"Music"
"Billboard News",82,12,9,4,"Music"
"Billie Eilish",108640,906,10,18,"Music"
"BillieEilishVEVO",171556,1123,10,12,"Music"
"Billions",2286,79,10,4,"Entertainment"
"Billy Graham Evangelistic Association",6020,960,9,12,"Entertainment"
"BillyCrammer",431,90,8,1,"Film & Animation"
"Binging with Babish",32759,847,10,79,"Entertainment"
"Bini the Bunny",2246,10,10,1,"Pets & Animals"
"Birdbox Studio",1174,32,10,1,"Film & Animation"
"BishopBriggsVEVO",8430,99,10,6,"Music"
"bitluni's lab",771,5,10,1,"Science & Technology"
"Björk",9572,360,10,23,"Music"
"Bkav Corp",2616,902,7,2,"Science & Technology"
"blackbearVEVO",57818,386,10,4,"Music"
"BLACKPINK",160500,1908,10,5,"People & Blogs"
"Blake Shelton",24190,1266,10,14,"Music"
"blayze999",872,85,9,10,"Comedy"
"Bleacher Report",22443,332,10,22,"Shows"
"BleachersVEVO",4495,77,10,6,"Music"
"Bleecker Street",4058,989,7,16,"Film & Animation"
"Blockbuster",40,79,3,1,"Film & Animation"
"Blonded",82370,2067,10,9,"People & Blogs"
"Bloomberg",414,52,9,2,"Autos & Vehicles"
"Bloomberg Politics",120,81,6,6,"News & Politics"
"Blossom",87888,10966,9,17,"Howto & Style"
"Blue Origin",4439,252,9,17,"Science & Technology"
"Blurred Culture",858,682,6,6,"Sports"
"blvck King",389,5,10,3,"Music"
"BMW USA",8312,240,10,3,"Autos & Vehicles"
"Bob Przybylo",15,7,7,6,"Sports"
"Bobby Bones",2538,201,9,16,"Music"
"Bobby Duke Arts",50178,1017,10,14,"Howto & Style"
"Boldly",69088,5921,9,17,"People & Blogs"
"Bon Appétit",18030,617,10,115,"Howto & Style"
"BonJoviVEVO",12939,373,10,9,"Music"
"boogie2988",152646,7369,10,13,"Entertainment"
"BostonDynamics",122074,3436,10,27,"Science & Technology"
"BowlFullofAwesome",4120,22,10,3,"People & Blogs"
"Brad Mondo",11412,368,10,10,"Comedy"
"Braille Skateboarding",5928,174,10,10,"Howto & Style"
"BrainfooTV",9904,1220,9,13,"Entertainment"
"Bramty Juliette",30025,349,10,12,"Howto & Style"
"BrantleyGilbertVEVO",8625,249,10,7,"Music"
"BrasherN",27068,2003,9,7,"Gaming"
"Brat",76189,1428,10,7,"Entertainment"
"Brave Wilderness",42052,909,10,82,"Pets & Animals"
"Bravo",1118,82,9,5,"Entertainment"
"Braxen McConnell",235,19,9,5,"People & Blogs"
"Breakfast Club Power 105.1 FM",12184,2363,8,58,"Entertainment"
"BreakingBenjaminVEVO",36374,758,10,5,"Music"
"Brent Pella",34324,1983,9,8,"Comedy"
"Bret Baier",1121,853,6,7,"News & Politics"
"BrettYoungVEVO",17791,546,10,17,"Music"
"Brian Hull",13851,522,10,30,"Entertainment"
"Brian Klug",651,10,10,6,"Entertainment"
"BrianJustinCrum",1666,36,10,1,"Entertainment"
"BRIGHT SIDE",30106,3012,9,5,"Howto & Style"
"Britain's Got Talent",118899,2994,10,24,"Entertainment"
"BRITs",2630,86,10,4,"Music"
"Brothers Green Eats",1991,83,10,1,"Howto & Style"
"Bruce Land",548,712,4,6,"Science & Technology"
"Bruno Mars",626801,20836,10,15,"Music"
"brutalmoose",11699,247,10,11,"Entertainment"
"BT Sport",8617,201,10,10,"Sports"
"BTS Videos",477,200,7,1,"Entertainment"
"Bud Light",28729,8250,8,7,"Entertainment"
"Budweiser",6113,1145,9,7,"Entertainment"
"BUILD Series",1862,22,9,11,"Entertainment"
"Bundesliga",5316,54,10,2,"Sports"
"BURGER KING",52638,4810,9,20,"Entertainment"
"Burritoxman",153,18,9,2,"People & Blogs"
"Business Insider",1014,100,8,33,"News & Politics"
"Business Insider UK",97,299,5,13,"News & Politics"
"Business InsiderAu",36,14,7,5,"Autos & Vehicles"
"But First, Coffee",92471,1305,10,3,"Howto & Style"
"Butch Hartman",78554,2054,10,21,"Film & Animation"
"Buttered Side Down",6171,252,10,19,"Comedy"
"BuzzFeed Celeb",74243,1377,10,22,"People & Blogs"
"BuzzFeed Nifty",2572,323,9,36,"Howto & Style"
"BuzzFeedBlue",23537,3127,9,49,"People & Blogs"
"BuzzFeedVideo",34059,2017,9,133,"People & Blogs"
"ByronTalbott",3061,158,10,22,"Howto & Style"
"C-SPAN",3960,1379,6,33,"News & Politics"
"CAguileraVEVO",67366,13508,8,14,"Music"
"CalebCity",54196,1719,10,19,"Comedy"
"Call of Duty",180613,26938,9,15,"Gaming"
"CalumScottVEVO",59682,496,10,31,"Music"
"Calvin Klein",9183,7163,6,12,"Entertainment"
"CalvinHarrisVEVO",271587,9853,9,28,"Music"
"Cam'ron",7556,2281,8,5,"Music"
"Camila Cabello",124752,1272,10,30,"Music"
